English,Malay
consecrate,v.t. mentahbiskan; dijadikan suci atau keramat; mengabdi kepada Tuhan. consecration n. pentahbisan: pengabdian kepada Tuhan.
consecutive,a. berturutan. consecutively adv. secara berturutan.
consensual,a. melibatkan persetujuan.
consensus,n. ijmak; persetujuan sebulat suara.
consent,v.i. rela; izin; setuju.
consequence,n. akibat.
consequent,a. akibatnya.
consequential,a. akibat langsung. consequentially adv. akibatnya; oleh itu.
consequently,"adv. sebagai akibatnya. conservancy n. badan yang membantu memulihara sumber asli, alam sekitar. dsb."
conservation,n. pemuliharaan (dalam bentuknya yang sedia wujud).
conservationist,n. penyokong pemuliharaan.
Conservative,a. & n. parti Konservatif United Kingdom (Britain).
conservative,a. konservatif; bangkang perubahan; elak daripada kemelam- pauan. conservatively adv. secara sederhana atau tidak melampau. conservatism n. fahaman atau pen- dirian konservatif.
conservatory,n. rumah pemuliharaan; rumah pelindung tanaman daripada haw a sejuk.
conserve,"v.t. memelihara; dilindungi daripada bahaya, repul atau hilang."
conserve,n. jem buah-buahan dan gula. consider v.t. menimbang.
considerable,a. banyak juga. considerably adv. sangat.
considerate,"a. bertimbang rasa, considerately adv. menaruh perasaan kasihan dan bertimbang rasa."
consideration,n. pertimbangan; ambil kira.
considering,"prep, dengan mengambil kira."
consign,"v.t. menyerah; mengirim. consignor n. pemberi konsain, penghan- tar barangan."
consignee,n. orang yang menerima kiriman barang; penerima konsain.
consignment,n. serahan; kiriman; konsainan.
consist,v.i. consist in mengandungi; berisi; berupa. consist of terdiri dari- pada.
consistency,a. ketekalan; keselarian; kekonsistenan; kesamaan yang menerus; darjah kepekatan atau kepejalan.
consistent,a. tekal; konsisten; sejajar. consistently adv. dengan konsisten.
consistory,n. majlis gereja.
consolation,n. sagu hati; penghibur hati; penghargaan. consolation prize hadiah sagu hati.
console,v.t. memujuk: menghibur (hati yang sedih).
console,"n. kuda-kuda; panel yang mengandungi alat-alat pengawal sesuatu; almari untuk peti televisyen, dll."
consolidate,v.t.i. jadi kukuh dan kuat; cantum. consolidation n. pengukuh- an; cantuman.
consomme,n. sup jernih.
consonant,n. konsonan: huruf-huruf selain daripada huruf vokal. -a. selari; harmoni. consonantly adv. sejajar. consonance n. kesejajaran.
consort,n. suami atau isteri raja; kapal pengiring.
consort,v.i. menemani.
consortium,n. (pl. -tia) konsortium; gabungan syarikat atau firma yang bertindak bersama.
conspectus,n. tinjauan am; ringkasan; sinopsis.
conspicuous,a. ketara; mudah dilihat; tarik perhatian. conspicuously adv. dengan nyata; dengan ketara. con-spicuousness n. perihal menarik perhatian atau mudah dilihat.
conspiracy,n. komplot; pakatan sulit. conspirator n. pengkomplot. conspiratorial a. berpakat; sulit. conspir- atially adv. perihal komplot-komplot yang mempunyai tujuan tertentu.
conspire,v.i. berkomplot.
constable,n. mata-mata; konstabel; polis.
constabulary,n. pasukan polis.
constancy,n. ketetapan (tidak ber- ubah); kesetiaan.
constant,"a. tetap; malar; berterusan; setia. -n. pemalar; jumlah, kuantiti yang tetap nilainya. constantly adv. sentiasa berterusan."
constellation,n. buruj; rasi bintang; gugusan bintang.
consternation,n. kekejutan; kebingu- ngan.
constipate,v.t. mengalami sakit sem- belit. constipation n. sembelit.
constituency,n. kumpulan pengundi; kawasan pengundian.
constituent,a. juzuk. jadi sebahagian daripada keseluruhan. -n. juzuk; pengundi.
constitute,v.t. mengandungi; terdiri daripada; menjadikan; menubuhkan; melantik.
constitution,n. perlembagaan; susun- an; resam tubuh.
constitutional,a. perlembagaan; ber- perlembagaan. constitutionally adv. berdasarkan perlembagaan.
constrain,v.t. paksa; sekat.
constraint,n. desakan; paksaan; sekatan.
constrict,v.t. cerut; jerut. constriction n. jerutan. constrictor n. penjerut.
construct,v.t. bina; bentuk.
construction,n. pembinaan; konstruk- si; kata-kata yang disusun untuk men- jadi frasa; tafsiran. constructional a. berkaitan dengan pembinaan.
constructive,a. yang membina. constructively adv. secara membina.
construe,v.t. tafsir; menyusun per- kataan (dari sudut nahu).
consubstantiation,n. kewujudan badan dan darah Kristus Jesus bersama dengan roti dan wain semasa upacara Eukaris.
consul,n. konsul; orang yang dilantik untuk mengurus dan melindungi rakyat negaranya di negara asing. consular a. berkenaan konsul.
consulate,n. konsulat; pejabat konsul. consult v.t.i. berunding; merujuki.
consultation,n. perundingan.
consultant,n. pakar runding; perun- ding.
consultative,a. perunding; berkaitan dengan perunding.
consume,v.t. makan; guna; pakai; dilanda atau diselubungi perasaan.
consumer,n. pengguna.
consumerism,n. fahaman kepeng- gunaan; konsumerisme.
consummate,a. sempuma; handal.
consummate,v.t. menyempurnakan (terutama alam perkahwinan dengan persetubuhan). consummation n. penyempurnaan.
consumption,n. penggunaan; (usang) batuk kering (TB).
consumptive,a. menghidap batuk kering.
contact,n. sentuhan; hubungan. -v.t. menghubungi. contact lens kanta
sentuh,kanta kecil dipakai bersen- tuhan dengan mata.
contagion,n. penjangkitan (secara sentuhan). contagious a. berjangkit.
contain,v.i. kandung; tahan; kawal.
container,n. bekas; kontena.
containerize,v.i. menggunakan kontena untuk pengangkutan (barang). containerization n. pengkontenaan.
containment,n. penyekatan;
pengawalan,sesuatu yang merbahaya.
contaminate,v.t. cemar. contamination n. pencemaran.
contemplate,v.t.i. renung; timbang; cadang; niat. contemplation n. renungan; pertimbangan; niat.
contemplative,a. merenung; ber- tafakur.
contemporaneous,a. sezaman; wujud atau berlaku serentak.
contemporary,a. sezaman; mutakhir.
contempt,n. kebencian.
contemptible,a. layak dihina; keji.
contemptuous,a. penuh kebencian. contemptuously adv. dengan penuh kebencian.
contend,v.t.i. lawan; bertanding. contender n. petanding.
content,a. puas hati. -n. keadaan puas hati. -v.t. memuaskan hati.
contented,a. berpuas hati. contentment n. kepuasan hati.
content,n. isi; kandungan; muatan.
contention,n. perbalahan; perdebatan; pandangan.
contentious,a. suka bertengkar; menimbulkan perbalahan.
contest,n. pertandingan; perlawanan.
contest,v.t.i. landing; lawan. contestant n. peserta.
context,H. konteks; keadaan. contextual a. mengikut konteks.
contiguous,a. bersempadan; berham- piran; berikutan. contiguously adv. berhampiran. contiguity n. keadaan yang bersempadan atau bersebelahan.
continent,n. benua. The Continent
Benua,Eropah.
continent,a. kontinen; boleh nienga- wal kumuhan. continence n. perihal mengekang atau mengawal hawa nafsu.
continental,a. benua; kebenuaan; Eropah. continental breakfast sarap- an ringan seperti kopi dan roti rol.
contingency,n. sesuatu yang tidak dijangka; sesuatu yang mungkin berlaku; darurat.
contingent,"a. berlaku secara kebetulan; mungkin berlaku. -n. kontingen; kumpulan askar atau kapal, dsb."
continual,a. berterusan. continually adv. secara berterusan.
continuance,n. keadaan berterusan; keterusan.
continue,v.t.i. terus-menerus; terus; diteruskan. continuation n. sambung- an; penerusan.
continuous,a. berterusan. continuously adv. secara berterusan. continuity n. kesinambungan.
continuum,n. (pl. -tinua) kontmum; perkara yang berterusan.
contort,v.t. berkerut. contortion n. kerutan.
contortionist,n. orang yang boleh me- liukkan badannya.
contour,n. kontur; garis bentuk.
contra,"pref, berlawanan."
contraband,1. seludupan; barang yang diseludup.
contraception,n. pencegahan hamil.
contraceptive,a. & n. pencegah kehamilan; alat pencegah kehamilan.
contract,n. kontrak; perjanjian rasmi. contractual a. bersifat kontrak.
contract,v.t.i. kontrak (kerja); ikat janji; dijangkiti (penyakit); kecut. contraction n. pengecutan. contractor n. kontraktor.
contractile,a. dapat mengecut.
contradict,v.t. bercanggah; menyang- kal. contradiction n. percanggahan. contradictor) a. bercanggahan.
contradistinction,n. berbanding dengan.
contraflow,n. aliran (terutama lalu lin- tas) yang berlawanan arah.
contralto,n. (pl. -os) nada terendah suara perempuan.
contraption,"n. (colloq.) alat, jentera yang pelik."
contrapuntal,a. gaya gerak imbang. contrariwise adv. sebaliknya.
contrary,a. berlawanan; bertentangan.
contrary,a. suka membantah. contrariness n. sikap suka membantah.
contrast,n. perbezaan bandingan; per- tentangan.
contrast,v.t.i. membandingkan. contrastive a. bandingan.
contravene,"v.t. langgar (hukum, adat, undang-undang). contravention n. perbuatan melanggar atau menyalahi."
contretemps,n. aral; rintangan.
contribute,v.t.i. sumbang; beri sumbangan contribution n. sumbangan. contributor n. penyumbang. contributory a. bersifat sumbangan.
contrite,a. sesal; kesal. contritely adv. penyesalan. contrition n. sesalan; keinsafan.
contrivance,n. ikhtiar.
contrive,v.t.i. mengikhtiarkan; ber- ikhtiar; berusaha.
control,n. kawalan; pengawaian. -v.t. (p.t. controlled) kawal. controllable a. dapat dikawal. controller n. pengawal; pengawas.
controversial,a. menimbulkan perba- lahan; bersifat kontroversi.
controversy,"n. pertikaian; kontroversi. controvert v.t. bertikai; menyangkal. controvertible a. dapat dipertikaikan. contumacy n. kedegilan; sifat tegar hati; sifat keras kepala atau keras hati. contumacious a. degil, tegar, keras kepala atau hati."
contumely,n. bahasa kesat; hinaan. contumelious a. kesat; bersifat meng- hina.
contuse,v.t. menjadi lebam. contusion n. calar; Iuka; lebam; memar.
conundrum,n. teka-teki.
conurbation,n. bandar gabungan.
convalesce,v.i. sembuh. convalescence n. penyembuhan; pemulihan. convalescent a. & n. berkenaan pemulihan; pesakit yang sedang pulih.
convection,n. pemanasan; perolakan. convector n. alat pemanas.
convene,v.t.i. berkumpul; berme- syuarat. convener n. orang yang mengaturkan perkumpulan atau mesyuarat.
convenience,n. keselesaan; kemudah- an; kesenangan; tandas awam.
convenient,a. selesa; mudah; senang. conveniently adv. dengan selesa; dengan mudah.
convent,n. biara.
convention,n. konvensyen; perkumpulan; perhimpunan; persetujuan; adat. conventional a. mengikut kebiasaan; sesuai dengan adat. conventionally adv. secara adat atau kebiasaan.
converge,v.i. memusat; menumpu. convergence n. pemusatan; penum- puan; pertembungan. convergent a. pertemuan; pemusatan.
conversant,a. conversant with mengelahui benar-benar.
conversation,n. percakapan; perbualan. conversational a. bersifat perbualan.
conversationally,adv. secara percakapan atau perbualan.
conversationalist,n. orang yang pandai berbual.
converse,v.i. berbual.
converse,a. berlawanan; bertentang- an. -n. hal yang berlawanan atau bertentangan. conversely adv. seba- liknya.
convert,"v.t.i. tukar (pegangan, agama, dsb.). conversion n. penukaran."
convert,n. mualaf.
convertible,a. boleh ditukar. -n. kereta yang boleh dilipat atau dibuka bumbungnya. convertibility n. keadaan dapat diubah.
convex,a. cembung. convexity n. kecembungan.
convey,v.t. membawa; menyampaikan. conveyance n. pembawaan; penyam- paian; kenderaan.
conveyancing,n. urusan perpindahan hak milik tanah.
conveyor,n. pembawa; alat pengangkut. convict1 v.t. sabit; didapati bersalali.
convict,n. banduan; orang salah.
conviction,n. penyabitan; penghu- kuman; keyakinan.
convince,v.t. meyakinkan.
convincing,a. meyakinkan; (berkenaan suatu kemenangan atau pemenang) tanpa sebarang keraguan.
convivial,a. meriah; riang. convivially adv. dengan riang ria. conviviality a. kemeriahan; keriangan.
convocation,n. perkumpulan; konvo- kesyen.
convoke,v.t. dipanggil (supaya berkumpul).
convoluted,a. berpulas; berbelit.
convolution,n. perlingkaran; keadaan berbelit-belit.
convolvulus,n. sejenis tumbuhan yang melilit.
convoy,n. konvoi; beriring-iringan.
convulse,v.t. gelepar; geletar; terkokol- kokol.
convulsion,n. geleparan; geletaran; sawan; konvulsi.
convulsive,a. bergegar; bergeletar. convulsively adv. dengan meng- geletar; dengan terkokol-kokol.
cony,n. arnab; bulu arnab.
coo,v.i. berkukur (seperti bunyi burung tekukur. dsb.); mendekut. -n. bunyi kukur; bunyi dekut. -int. (si.) seruan tanda hairan.
cooee,int. seruan untuk menarik per- hatian.
cook,v.t.i. memasak; bertanak; mere- ka-reka (untuk menipu). -n. tukang masak. cook up (colloq.) mereka- reka; cerita.
cooker,"n. dapur; buah, terutamanya epal, yang lebih sesuai untuk dimasak daripada dimakan mentah."
cookery,n. ilmu masak-memasak.
cookie,n. (A.S.) biskut manis.
cool,"a. (-er, -est) nyaman; sejuk; dingin; tenang. -n.(sl.) kenyamanan; kesejukan; kedinginan; ketenangan. -v.t.i. menjadi nyaman, sejuk. coolly adv. dengan tenang; secara tidak bersemangat. coolness n. kenyamanan; kesejukan; ketenangan."
coolant,n. cecair penyejuk.
coolie,n. kuli; buruh kasar.
coomb,n. lembah di tepi bukit.
coon,n. rakun.
coop,n. sangkar atau keranjang (ayam).
coop,n. (colloq.) koperasi; syarikat kerjasama.
cooper,n. pembuat tong.
cooperate,v.i. bekerjasama. cooperation n. kerjasama.
cooperative,a. memberikan kerjasama bekerjasama. -n. koperatif; syarikat kerjasama.
coopt,v.t. dipilih menjadi ahli atas undangan ahli-ahli yang sedia ada. co-option n. pemilihan; perlantikan.
coordinate,a. setaraf; selaras. -n. koordinat; ukuran yang digunakan untuk memberi kedudukan sesuatu titik.
coordinate,v.t. menyelaras. coordination n. penyelarasan. coordinator n. penyelaras.
coot,n. burung panglin.
cop,v.t. (p.t. copped) (si.) tangkap.
cope,v.i. (colloq.) upaya. cope with mengendalikan dengan jayanya; berupaya menghadapi.
cope,n. jubah paderi.
copier,n. (mesin) penyalin.
coping,n. bahagian atas tembok. coping-stone n. batu-batan untuk dibuat dinding.
copious,a. banyak; melimpah-ruah. copiously adv. dengan banyaknya; dengan mewah. copiousness n. perihal banyaknya.
copper,n. tembaga; syiling tembaga; warna tembaga. -a. diperbuat daripada tembaga.
copper,n. (si.) mata-mata; anggota polis.
copperplate,n. tulisan tangan yang cantik.
coppice,copse ns. belukar; semak - samun.
copula,n. kopula; perkataan yang menghubungkan subjek dengan pre- dikat.
copulate,v.i. bersetubuh; (haiwan) mengawan. copulation n. persetu- buhan. copulatory a. berkenaan dengan persetubuhan.
copy,"n. salinan; naskhah; bahan untuk dicetak. -v.t. salin; tint, copyist n. penyalin; peniru."
copyright,n. hak cipta. -a. dilindungi oleh hak cipta.
coquette,n. perempuan yang suka menggoda; perempuan yang suka mempermainkan lelaki. coquettish a. bersifat menggoda. coquetry n. perihal menggoda.
cor,anglais alat muzik seperti obo.
coracle,n. bot kecil.
coral,n. karang; wama merjan (merah). corbel n. penyangga. corbelled a.
cord,n. tali pintal.
corded,a. berjalur timbul.
cordial,a. mesra. -n. minuman dengan rasa buah-buahan. cordially adv. dengan mesra. cordiality n. kemesraan.
cordite,n. kordait; bahan peledak (dalam peluru) yang tidak berasap.
cordon,"n. kepungan toleh barisan ten- tera, polis, dll.); pintalan di sekeliling lencana; pokok buahan yang dicantas cabang-cabangnya hingga tinggal batang tunggal. -v.t. mengepung."
cordon,bleu anugerah tertinggi dalam ilmu memasak.
corduroy,n. kain korduroi; sejenis kain yang tebal dan berjalur-jalur timbul; (si.) seluar panjang yang dibuat daripada kain jenis ini.
core,n. teras; empulur; inti sari; bahagian yang utama atau paiing penting. -v.t. membuang teras atau empulur.
corespondent,n. penentangan ber- sama; orang yang didakwa berzina dengan si tertuduh dalam kes pen- ceraian kerana zina.
corgi,n. (pl. -is) sejenis anjing katik. coriander n. ketumbar.
Corinthian,a. bersifat gaya binaan Yunani (kuno) yang paling banyak hiasannya.
cork,n. gabus. -v.t. disumbat dengan gabus.
corkage,n. corkage; caj menghidang- kan wain yang dibawa sendiri oleh pelanggan ke restoran.
corker,M. (si.) orang atau benda yang sangat bagus.
corkskrew,n. alat pencabut gabus penyumbat botol; benda yang ber- gulung atau berpilin.
corm,n. bebawang; ubi; umbisi. cormorant n. burung kosa. corn' n. jagung; gandum; oat. corn2 n. belulang; kutil; kematu. corncrake n. sejenis burung.
cornea,n. kornea; selaput jernih yang melindungi biji mata. corneal a. perihal komea.
corned,a. diasinkan; mengasinkan (peram dengan garam).
cornelian,n. sejenis permata kemerah- an atau putih.
corner,n. sudut; penjuru; selekoh.
cornerstone,n. asas; batu asas.
cornet,n. komet; sejenis alat muzik seperti trompet; kelongsong aiskrim.
cornflakes,n.pl. emping jagung. cornflour n. tepung jagung.
cornflower,n. tumbuhan berbunga biru yang tumbuh di antaia pokok-pokok jagung.
cornice,n. birai hias.
Cornish,berkaitan dengan Cornwall. -n. bahasa Celtic.
cornucopia,n. bekas berbentuk tanduk yang melimpah dengan buah-buahan tanda kemewahan; bekalan yang amat banyak.
corny,a. (colloq.) sudah basi; terlalu kerap digunakan dan kurang berkesan; dangkal.
corollary,"n. hal, akibat atau kesim- pulan yang pasti berlaku mengikut urutan lojik."
corona,n. korona; lingkaran cahaya di sekeiiling sesuatu.
coronary,n. koronari; salah satu salur- an darah ke jantung.
coronation,n. penabalan; penobatan (raja).
coroner,n. penyiasat (sebab-musabab) kematian.
coronet,n. malikota kecii.
corporal,n. koperal; pegawai di bawah sarjan.
corporal,a. berkenaan jasmani; berkaitan dengan tubuh badan. corporal
punishment,"hukuman fizikal seperti sebatan, deraan, dsb."
corporate,a. berkongsi; bersekutu; ditanggung bersama oleh para ahli sesuatu kumpulan.
corporation,n. kongsi; syarikat; per- badanan; koperat; kumpulan yang dipilih untuk mentadbir sesebuah bandar.
corporeal,a. zahir; ketara. corporeally adv. pada zahirnya. corporeality n. kezahiran.
corps,n. (pl. corps) pasukan; kor. corpse n. mayat; jenazah; bangkai. corpulent a. gempal; gendut; gemuk.
corpulence,n. kegempalan.
corpus,n. (pl. corpora) korpus; satu set tulisan.
corpuscle,n. korpuskel; sei darah.
corral,"n. (A.S.) kandang untuk lembu, dll. -v.t. (p.t. coralled) kurung dalam kandang."
correct,a. betul; tepat. -v.t. menegur (membetulkan); memeriksa. correctly adv. dengan betul. correctness n. ketepatan; kebetulan; kebenaran. corrector n. pembetul.
correction,n. pembetulan; teguran.
correctives,& n. bersifat membaiki; pembaikan.
correlate,"v.t.i. berhubung kait secara bersistem (sistematik). correlations, hubung kait; pertalian."
correspond,v.i. serupa; sama; secocok; sejajar; kirim surat.
correspondence,n. kesamaan; kese- rupaan; surat-surat.
correspondent,n. penulis surat; pem- berita; wartawan.
corridor,"n. koridor; ruang untuk orang betjalan dalam bangunan, kereta api, dsb."
corrigenda,n.pl. pembetulan.
corroborate,v.t. membenarkan; menyo- kong. corroboration n. sokongan. corroborative a. bersifat menyokong atau mengesahkan. corroboratory a. menentukan ketegasan; perihal menguatkan bukti.
corrode,v.t. menghakis; menjadi berkarat. corrosion n. penghakisan. corrosive a. bersifat menghakis.
corrugated,a. beralun-alun. corrugation n. alunan.
corrupt,a. cutang; korup; keji. -v.t. berbuat curang; menjadi rosak. corruption n. rasuah; kecurangan. corruptible a. mudah rosak akhlak.
corsage,n. korsaj; (A.S.) bunga yang biasanya dipakai oleh wanita.
corsair,n. (usang) lanun.
corset,n. bengkung; korset; pakaian dalam yang ketat.
corslet,"perisai (menutupi badan). corteges, pawai; perarakan jenazah."
cortex,n. (pl. -ices) korteks; kulit atau lapisan luar otak atau buah pinggang.
cortisone,n. kortison; hormon yang dihasilkan oleh kelenjar adrenal atau secara tiruan.
coruscate,v.i. bergemerlapan. coruscation n. kegemerlapan.
corvette,n. korvet; kapal perang kecil.
cos,n. salad berdaun panjang.
cos,abbr. cosine kosinus; kosain.
cosh,n. kayu pemukul; penggodam.
cosine,n. kosinus; kosain; sinus pelengkap bagi sesuatu sudut.
cosmetic,n. al at solek. -a. solek.
cosmic,a. tentang alam semesta; kos- mik; berkenaan kosmos. cosmic rays sinar kosmos.
cosmogony,n. kosmogoni; teori asal usul alam.
cosmology,n. kosmologi; ilmu atau teori tentang alam. cosmological a. berkenaan kosmologi.
cosmonaut,n. angkasawan (Rusia).
cosmopolitan,a. kosmopolitan; dari- pada pelbagai negara; tanpa per- kauman. -n. warga dunia.
cosmos,n. alam semesta; kosmos.
Cossack,n. Kossak; satu kaum di Rusia Selatan yang terkenal kerana keahlian mereka dalam penunggangan kuda.
cosset,v.t. (p.t. cosseted) memanjakan. cost v.t. (p.t. cost) biaya; kos. -n. harga; kos; perbelanjaan.
costal,a. kosta; rusuk.
costar,n. pelakon yang muncul bersama seorang pelakon lain yang sama penting dengannya.
costermonger,n. penjaja buah-buahan dari kereta sorong.
costly,"a. (-ier, -iest) mahal; berharga. costliness n. kemahalan."
costume,n. kostum; pakaian untuk sesuatu upacara atau kegiatan tertentu.
cosy,"a. (A.S. cozy) selesa, nyaman dan selamat; tidak sukar atau cerewet. n. (pl. cosies) penutup untuk teko, dsb. supaya kekal panasnya. v. (cosying. cosied) (cosy up to) cuba untuk mendapatkan sebarang faedah bagi diri sendiri."
cot,n. katil bayi; endui; noi; buaian. cote n. sarang burung atau haiwan.
coterie,n. kumpulan orang tertentu.
cottage,"n. kotej; pondok; dangau; teratak; rumah kecil di kampung. cottage cheese keju kotej; keju berketul-ketul yang dibuat dengan dadih tanpa ditekan. cottage hospital hospital kotej; hospital yang tidak mempunyai doktor sendiri. cottage loaf lof kotej; sejenis roti, cottage pie pai kotej; makanan daripada daging cincang dan ubi kentang."
cottager,n. penghuni kotej. dsb.
cotter,pin semat baji; bolt atau sendal dalam jentera.
cotton,n. kapas; pokok kapas; kain kapas. -v.i. cotton on (si.) faham. cotton wool kapas (untuk menekap atau melapik). cottony a. daripada kapas.
cotyledon,n. kotiledon; daun sulung yang tumbuh daripada benih.
couch,n. ranjang; kerusi panjang.
couch,n. (juga couch-grass) rumpai berakar menjalar.
couchette,n. katil lipat.
cougar,n. kugar; sejenis harimau di Amerika; puma.
cough,v.t.i. batuk; terbatuk. -n. batuk. could p.t. I that can2.
couldnt,abbr. could not tidak dapat; tidak upaya; tidak boleh.
coulomb,n. coulomb; unit caj elektrik. coulter n. pisau tenggala atau bajak. council 7. majlis; majlis perbandaran.
council,house rumah yang dipunyai dan disewakan oleh majlis perbandaran.
councillor,n. ahli majlis.
counsel,n. nasihat; saranan; (pl. counsel) peguam. -v.t. (p.t. counselled) beri nasihat. keep one's ow n counsel tidak memberitahukan. counsellor n. kaunselor; penasihat; peguam.
count,v.t.i. mengira. -n. kiraan. count-down n. mengira ke bawah. count on bergantung; harap.
count,n. gelaran bangsawan (asing). countenance n. wajah; air muka;
roman,menunjukkan persetujuan. - v.t. beri persetujuan; membenarkan.
counter,n. alat pengira; kaunter.
counter,adv. bertentang. -a. berten- tangan. -v.t.i. halang; menewaskan.
counter,"pref, bertentangan; beriawan- an; sebaliknya."
counterattack,n. & v.t.i. serangan balas.
counterespionage,n. tindakan cegah pengintipan musuh.
counterintelligence,n. risik balas.
counterproductive,a. tidak meng- untungkan.
countertenor,n. alto laki-laki.
counteract,"v.t. meredakan, mengurang atau menghalang kesan sesuatu tin- dak balas. counteraction n. tindakan balas; pemapasan."
counterbalance,n. pengimbang balas.
counterblast,n. reaksi agresif.
counterfeit,"a., n. & v.t. tiru; palsu; tiruan; meniru; memalsukan."
counterfoil,n. keratan yang disimpan oleh pengirim.
countermand,v.t. batalkan.
countermeasure,n. tindakan penyela- mat; langkah balas.
counterpane,n. cadar; seperai.
counterpart,n. orang atau benda yang setara; rakan sejawat.
counterpoint,n. not balas; kaedah mencantum melodi.
counterpoise,n. pengimbang. -v.t. mengimbangi.
countersign,n. kata laluan; perkataan yang digunakan sebagai tanda kepastian untuk mendapat kebenaran masuk ke sesuatu tempat. -v.t. menandatangani sekali lagi.
countersink,"v.t. (p.t. -sunk) pem- benaman kepada skru hingga separas dengan permukaan (papan, dll.)."
countervail,v.t. mengimbang balas; timbal balas.
counterweight,n. & v.t. pengimbang balas; mengimbang balas.
countess,n. gelaran bangsawan untuk isteri atau balu count dan earl.
countless,a. tidak terhingga; tidak ter- kira (banyaknya).
countrified,a. bagaikan keadaan atau kehidupan di desa; bersifat kedesaan.
country,"n- negara; negeri; desa. country dance tarian rakyat, go to the country mengadakan pilihan raya umum."
countryman,"n. (pl. -men) orang (lelaki) kampung, desa; orang senegeri, senegara. countrywoman n. fem. perempuan kampung; perempuan senegeri, senegara."
countryside,n. luar bandar.
county,n. satu kawasan pentadbiran sesebuah negeri; mukim.
coup,n. rampasan kuasa.
coup,d'etat rampasan kuasa peme- rintahan secara haram dan dengan kekerasan; kudeta.
coup,de grace tindakan penyudah. coupe n. motokar dua pintu.
couple,"n. pasangan; sepasang; sejoli; kelamin; suami isteri. -v.t.i. diikat atau disambung satu dengan yang lain, coupler n. pasangan; pemadan; pengganding."
couplet,n. bait; kuplet; dua baris berima berturutan dalam puisi.
coupling,n. penyangkuk; perangkai; gandingan.
coupon,n. kupon.
courage,n. keberanian; kegagahan. courageous a. berani; gagah. courageously adv. dengan gagah berani; dengan tabah hati.
courgette,n. sejenis labu kecil.
courier,"n. pembawa (surat, dll.); utusan; pemandu pelancong."
course,n. arah; haluan; kursus; seba- hagian daripada hidangan. -v.t.i. memburu dengan anjing yang mengejar mangsa yang dilihatnya. of course sudah tentu.
courser,"n. (puisi), kuda pantas."
court,n. halaman; gelanggang; istana; mahkamah. -v.t. melamar; memikat; mencari (nahas). court martial (pl. courts martial) mahkamah tentera. court-martial v.t. (p.t. -martialled) dibicarakan di mahkamah tentera. pay court to cuba memikat.
courteous,a. sopan; santun. courteously adv. dengan sopan; dengan santun.
courtesan,n. pelacur kelas atasan.
courtesy,n. kesopanan; kesantunan; budi bahasa. by courtesy of dengan ihsan daripada.
courtier,n. pengiring raja.
courtly,a. bersopan santun. courtliness n. kesantunan.
courtship,n. percubaan untuk memikat; masa hereinta-cintaan.
courtyard,n. halaman (berpagar tem- bok atau bangunan).
couscous,n. sejenis masakan Afrika daripada suji yang dikukus.
cousin,n. (first cousin) sepupu.second cousin dua pupu. cousinly adv. seperti saudara.
couture,n. perekaan pakaian berg ay a. couturier n. pereka fesyen pakaian. cove n. teluk kecil; lengkung cekung. coven n. perhimpunan (ahli sihir).
covenant,n. perjanjian rasmi; kontrak.
Coventry,n. send to Coventry memulaukan; enggan menegur sapa atau bergaul dengan seseorang itu.
cover,v.1. menutup; meliputi. -n. liputan; tudung. cover up menyem- bunyikan. cover-up n. sesuatu yang menutup atau menyembunyikan; penutupan; penyembunyian.
coverage,n. liputan; lindungan.
coverlet,n. penutup cadar.
covert,n. belukar; semak samun; bulu pahat. -a. tersembunyi; terseiindung. covertly adv. dengan cara tersembunyi atau terselindung.
covet,"v.t. ingin; idam (terutama hak orang lain), covetous a. mengingini; mengidam. covetously adv. dengan perasaan atau sikap sangat mengingini."
covey,n. (pl. -eys) sekawan burung. cow' n. lembu betina.
cow,v.t. menakul-nakutkan.
coward,n. penakut; pengecut. cowardly a. yang penakut. cowardliness n. sifat penakut atau pengecut.
cowardice,n. sifat penakut atau pengecut.
cowboy,"n. gembala lembu yang menunggang di Amerika; koboi; (colloq.) orang yang tidak hemat atau tidak jujur dalam pernia- gaan, terutamanya yang tidak berkelayakan."
cower,v.i. merangkung kerana takut atau sejuk.
cowl,n. kerudung jubah rahib; jubah berkerudung.
cowling,n. tudung logam (yang boleh ditanggalkan) di atas enjin.
cowrie,n. sejenis kulit siput.
cowshed,"n. bangsal (lembu, kerbau, dll.)."
cowslip,n. sejenis pokok bunga liar.
cox,n. juruniudi. -v.t. bertindak sebagai jurumudi.
coxswain,n. jurumudi; juragan; orang yang menjaga kemudi.
coy,"a. (-er, -est) tersipu-sipu; malu. coyly adv. dengan tersipu; malu. coyness n. sifat malu-malu; kemalu-maluan."
coyote,n. koyote; serigala prairi.
coypu,n. sejenis binatang seperti memerang.
cozen,v.t.i. memperdaya; menipu.
crab,n. ketam. -v.t.i. (p.t. crabbed) merungut. crab-apple n. sejenis epal kecil yang masam. crabby a. merengus.
crabbed,a. radang; marah; (tulisan) yang sukar dibaca.
crack,n. keretakan; letusan; (si.) gurauan. -a. (colloq.) sangat bagus. -v.t.i. meretak; letus; meletus; ketuk-
an,cerita kisah lucu; pecah masuk; (suara jadi) garau; menyerah pada tekanan; memecahkan minyak likat kepada yang lebih cair. crack- brained a. (colloq.) sasau; sewel. crack down on (colloq.) ambil tindakan keras terhadap. crack up tidak lagi dapat menahan tekanan. get cracking (colloq.) mulakan keija.
